返航余量（%）,水平能耗率倍率,目标优先策略,总架次,总能耗（kWh）,累计作业时间（s）,代表方案集中非支配
20.0,1.0,架次优先,18,59.24025780157648,32798.50003202202,是
20.0,1.0,能耗优先,19,59.14221251654163,34466.52036659118,是
20.0,1.0,时间优先,18,59.24025780157648,32798.50003202202,是
10.0,1.0,架次优先,18,59.24025780157648,32798.50003202202,是
10.0,1.0,能耗优先,19,59.14221251654163,34466.52036659118,是
10.0,1.0,时间优先,18,59.24025780157648,32798.50003202202,是
15.0,1.0,架次优先,18,59.24025780157648,32798.50003202202,是
15.0,1.0,能耗优先,19,59.14221251654163,34466.52036659118,是
15.0,1.0,时间优先,18,59.24025780157648,32798.50003202202,是
25.0,1.0,架次优先,19,61.189672556468246,34592.27246806989,是
25.0,1.0,能耗优先,21,60.98155160250771,37938.652183267004,是
25.0,1.0,时间优先,19,61.281382957396005,34586.27246806989,是
30.0,1.0,架次优先,20,67.35771121289532,36616.848710842176,是
30.0,1.0,能耗优先,26,66.64538713263367,46530.12187231724,是
30.0,1.0,时间优先,20,67.35771121289532,36616.848710842176,是
20.0,0.8,架次优先,18,47.9031794860945,32798.50003202202,是
20.0,0.8,能耗优先,19,47.84053366085942,34466.52036659118,是
20.0,0.8,时间优先,18,47.9031794860945,32798.50003202202,是
20.0,1.2,架次优先,20,88.77601955950811,36949.98187531158,是
20.0,1.2,能耗优先,28,84.16267644762382,50079.69570901723,是
20.0,1.2,时间优先,20,88.77601955950811,36949.98187531158,是
